,Hospital,City,State,ZIP Code,Score,Score URL
0,University of Alabama at Birmingham Hospital,Birmingham,AL,35249-1900,73.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"""
1,Southeast Health Medical Center,Dothan,AL,36301-3024,61.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
2,Riverview Regional Medical Center-Gadsden,Gadsden,AL,35901-5399,48.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
3,Eliza Coffee Memorial Hospital,Florence,AL,35630-6033,45.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
4,Gadsden Regional Medical Center,Gadsden,AL,35903-1195,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
5,East Alabama Medical Center,Opelika,AL,36801-5452,43.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
6,St. Vincent's Birmingham Hospital,Birmingham,AL,35205-1695,41.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
7,Huntsville Hospital,Huntsville,AL,35801-4470,40.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
8,Cullman Regional Medical Center,Cullman,AL,35055,40.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
9,Baptist Medical Center East,Montgomery,AL,36117-3512,40.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
10,Medical West,Bessemer,AL,35022-4527,39.3,/best-hospitals/area/co/national-jewish-health-6840315/p
11,DCH Regional Medical Center,Tuscaloosa,AL,35401-2029,38.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
12,Flowers Hospital,Dothan,AL,36305-4000,38.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
13,Helen Keller Hospital,Sheffield,AL,35660-6334,38.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
14,South Baldwin Regional Medical Center,Foley,AL,36535-2299,38.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
15,Mobile Infirmary Medical Center,Mobile,AL,36607-3513,38.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
16,Brookwood Baptist Medical Center,Birmingham,AL,35209-6875,37.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
17,Princeton Baptist Medical Center,Birmingham,AL,35211-1303,37.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
18,Decatur Morgan Hospital,Decatur,AL,35601-3303,36.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
