,Surgeons,NPI,URL,Gender,Surgery Volume,Med School,Med Year,Residency,Certifications,Hospitals,# Death Cases,Death Rate,# Problem Cases,Problem Rate,Combined Score,Avg Review,# of Reviews
0,Dr. Paul Louis Cammack,1477637155,www.checkbook.org/surgeonratings/Lung-Surgery/Paul-Louis-Cammack/1477637155/,Male,,University of Alabama,1975,,Thoracic and Cardiac Surgery,Baptist Medical Center South;,-99,-99.0,48,27.7,0.1314955439961735,3.9379310344827587,29.0
1,Dr. Robert Cerfolio,1245272483,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Cerfolio/1245272483/,Male,,University of Rochester,1988,Mayo Clinic-Rochester,Surgery;Thoracic and Cardiac Surgery,UAB Hospital;,426,6.6,408,26.8,0.1262789932110731,4.666086956521739,345.0
2,Dr. Richard Lloyd Clay,1619960549,www.checkbook.org/surgeonratings/Lung-Surgery/Richard-Lloyd-Clay/1619960549/,Male,,University of South Alabama,1981,Bridgeport Hosp,Thoracic and Cardiac Surgery,Huntsville Hospital;,-99,-99.0,45,36.1,1.0767116134903436,4.142857142857143,70.0
3,Dr. Evan Scott Cohen,1235122177,www.checkbook.org/surgeonratings/Lung-Surgery/Evan-Scott-Cohen/1235122177/,Male,,Baylor University,1983,Baylor College of Medicine,Surgery;Thoracic and Cardiac Surgery,Huntsville Hospital;,127,3.1,122,17.9,-0.9027334557125221,4.8590361445783135,83.0
4,Dr. Barry Glen Crowe,1710964739,www.checkbook.org/surgeonratings/Lung-Surgery/Barry-Glen-Crowe/1710964739/,Male,,University of Alabama,1996,,Thoracic and Cardiac Surgery,East Alabama Medical Center;,-99,-99.0,18,26.8,0.030222393693226893,4.0,9.0
5,Dr. Michael E. Damrich,1063560563,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-E-Damrich/1063560563/,Male,,University of South Alabama,1978,,Thoracic and Cardiac Surgery,Mobile Infirmary Medical Center;Providence Hospital (Mobile);,-99,-99.0,19,50.9,2.7420923073610233,3.4523809523809526,21.0
6,Dr. Larkin Jeffrey Daniels,1669470423,www.checkbook.org/surgeonratings/Lung-Surgery/Larkin-Jeffrey-Daniels/1669470423/,Male,,University of Alabama,1992,,Thoracic and Cardiac Surgery,Mobile Infirmary Medical Center;Providence Hospital (Mobile);Springhill Medical Center;,227,7.5,218,25.3,0.17772632562998586,4.578431372549019,51.0
7,Dr. Edward R. Ferguson,1831156496,www.checkbook.org/surgeonratings/Lung-Surgery/Edward-R-Ferguson/1831156496/,Male,,Louisiana State University-New Orleans,1991,U Ala,Thoracic and Cardiac Surgery,Gadsden Regional Medical Center;North Mississippi Medical Center - Tupelo;Riverview Regional Medical Center;,-99,-99.0,18,34.8,0.9304281741638645,3.7055555555555557,36.0
8,Dr. Shaf B. Holden,1518161397,www.checkbook.org/surgeonratings/Lung-Surgery/Shaf-B-Holden/1518161397/,Male,,University of Alabama,2001,,Surgery;Thoracic and Cardiac Surgery,Huntsville Hospital;Providence Hospital (Mobile);Mobile Infirmary Medical Center;Springhill Medical Center;,-99,-99.0,61,28.9,0.2665264110667691,4.1416666666666675,36.0
9,Dr. Steven F. Johnson,1255321279,www.checkbook.org/surgeonratings/Lung-Surgery/Steven-F-Johnson/1255321279/,Male,,University of Alabama,1987,University of Kentucky Hospital,Thoracic and Cardiac Surgery,Southeast Alabama Medical Center;Flowers Hospital;,-99,-99.0,34,14.8,-1.32008627701273,3.973076923076923,26.0
