,Surgeon,NPI,URL
0,Dr. Paul Louis Cammack,1477637155,www.checkbook.org/surgeonratings/Lung-Surgery/Paul-Louis-Cammack/1477637155/
1,Dr. Robert Cerfolio,1245272483,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Cerfolio/1245272483/
2,Dr. Richard Lloyd Clay,1619960549,www.checkbook.org/surgeonratings/Lung-Surgery/Richard-Lloyd-Clay/1619960549/
3,Dr. Evan Scott Cohen,1235122177,www.checkbook.org/surgeonratings/Lung-Surgery/Evan-Scott-Cohen/1235122177/
4,Dr. Barry Glen Crowe,1710964739,www.checkbook.org/surgeonratings/Lung-Surgery/Barry-Glen-Crowe/1710964739/
5,Dr. Michael E. Damrich,1063560563,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-E-Damrich/1063560563/
6,Dr. Larkin Jeffrey Daniels,1669470423,www.checkbook.org/surgeonratings/Lung-Surgery/Larkin-Jeffrey-Daniels/1669470423/
7,Dr. Edward R. Ferguson,1831156496,www.checkbook.org/surgeonratings/Lung-Surgery/Edward-R-Ferguson/1831156496/
8,Dr. Shaf B. Holden,1518161397,www.checkbook.org/surgeonratings/Lung-Surgery/Shaf-B-Holden/1518161397/
9,Dr. Steven F. Johnson,1255321279,www.checkbook.org/surgeonratings/Lung-Surgery/Steven-F-Johnson/1255321279/
10,Dr. Stephen K. Kwan,1518052356,www.checkbook.org/surgeonratings/Lung-Surgery/Stephen-K-Kwan/1518052356/
11,Dr. Stanley K. Lochridge,1396791604,www.checkbook.org/surgeonratings/Lung-Surgery/Stanley-K-Lochridge/1396791604/
12,Dr. Douglas James Minnich,1730162041,www.checkbook.org/surgeonratings/Lung-Surgery/Douglas-James-Minnich/1730162041/
13,Dr. Barry Douglas Newsom,1043257793,www.checkbook.org/surgeonratings/Lung-Surgery/Barry-Douglas-Newsom/1043257793/
14,Dr. Peter N/a Pluscht,1639177470,www.checkbook.org/surgeonratings/Lung-Surgery/Peter-N/a-Pluscht/1639177470/
15,Dr. John Burnie Richardson,1457390981,www.checkbook.org/surgeonratings/Lung-Surgery/John-Burnie-Richardson/1457390981/
16,Dr. Lee Shefton Riggins,1659381291,www.checkbook.org/surgeonratings/Lung-Surgery/Lee-Shefton-Riggins/1659381291/
17,Dr. Lee Douglass Roberson,1790750065,www.checkbook.org/surgeonratings/Lung-Surgery/Lee-Douglass-Roberson/1790750065/
18,Dr. Russell Scott Ronson,1982629895,www.checkbook.org/surgeonratings/Lung-Surgery/Russell-Scott-Ronson/1982629895/
19,Dr. William Ford Simpson,1124074497,www.checkbook.org/surgeonratings/Lung-Surgery/William-Ford-Simpson/1124074497/
20,Dr. Parvez K. Sultan,1356381685,www.checkbook.org/surgeonratings/Lung-Surgery/Parvez-K-Sultan/1356381685/
21,Dr. Gregory Allen Thomas,1083624357,www.checkbook.org/surgeonratings/Lung-Surgery/Gregory-Allen-Thomas/1083624357/
22,Dr. Robert Charles Walker,1457318016,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Charles-Walker/1457318016/
23,Dr. Kenneth Anthony Ashton,1144214172,www.checkbook.org/surgeonratings/Lung-Surgery/Kenneth-Anthony-Ashton/1144214172/
24,Dr. Peter Cheung,1427155027,www.checkbook.org/surgeonratings/Lung-Surgery/Peter-Cheung/1427155027/
25,Dr. Patrick A. De Valeria,1538144720,www.checkbook.org/surgeonratings/Lung-Surgery/Patrick-A-De-Valeria/1538144720/
26,Dr. Hao Fang,1871522524,www.checkbook.org/surgeonratings/Lung-Surgery/Hao-Fang/1871522524/
27,Dr. Andrew Goldstein,1518951284,www.checkbook.org/surgeonratings/Lung-Surgery/Andrew-Goldstein/1518951284/
28,Dr. R. Randall Grace,1598740995,www.checkbook.org/surgeonratings/Lung-Surgery/R-Randall-Grace/1598740995/
29,Dr. Jasmine L. Huang,1487861241,www.checkbook.org/surgeonratings/Lung-Surgery/Jasmine-L-Huang/1487861241/
30,Dr. Roger James Hucek,1821094780,www.checkbook.org/surgeonratings/Lung-Surgery/Roger-James-Hucek/1821094780/
31,Dr. Dawn E. Jaroszewski,1063479061,www.checkbook.org/surgeonratings/Lung-Surgery/Dawn-E-Jaroszewski/1063479061/
32,Dr. Samuel Suk Kim,1184771172,www.checkbook.org/surgeonratings/Lung-Surgery/Samuel-Suk-Kim/1184771172/
33,Dr. Elbert Yeung-Wei Kuo,1770669152,www.checkbook.org/surgeonratings/Lung-Surgery/Elbert-Yeung-Wei-Kuo/1770669152/
34,Dr. Louis Angel Lanza,1275518557,www.checkbook.org/surgeonratings/Lung-Surgery/Louis-Angel-Lanza/1275518557/
35,Dr. Douglas G. Lowell,1538199971,www.checkbook.org/surgeonratings/Lung-Surgery/Douglas-G-Lowell/1538199971/
36,Dr. Michael C. Maxwell,1114926300,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-C-Maxwell/1114926300/
37,Dr. Robert D. Riley,1225037328,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-D-Riley/1225037328/
38,Dr. Luis J. Rosado-Lopez,1235237298,www.checkbook.org/surgeonratings/Lung-Surgery/Luis-J-Rosado-Lopez/1235237298/
39,Dr. John S. Schor,1568459717,www.checkbook.org/surgeonratings/Lung-Surgery/John-S-Schor/1568459717/
40,Dr. Iva A. Smolens,1992794564,www.checkbook.org/surgeonratings/Lung-Surgery/Iva-A-Smolens/1992794564/
41,Dr. Robert Jay Standerfer,1336142355,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Jay-Standerfer/1336142355/
42,Dr. Darryl G. Stein,1902828825,www.checkbook.org/surgeonratings/Lung-Surgery/Darryl-G-Stein/1902828825/
43,Dr. Pierre R. Tibi,1811926660,www.checkbook.org/surgeonratings/Lung-Surgery/Pierre-R-Tibi/1811926660/
44,Dr. Jose E. Torres,1437368404,www.checkbook.org/surgeonratings/Lung-Surgery/Jose-E-Torres/1437368404/
45,Dr. Miguel G. Aguinaga,1427010800,www.checkbook.org/surgeonratings/Lung-Surgery/Miguel-G-Aguinaga/1427010800/
46,Dr. Hugh F. Burnett,1750333985,www.checkbook.org/surgeonratings/Lung-Surgery/Hugh-F-Burnett/1750333985/
47,Dr. Edgar J. Chauvin,1669471157,www.checkbook.org/surgeonratings/Lung-Surgery/Edgar-J-Chauvin/1669471157/
48,Dr. James Stephen Counce,1104805498,www.checkbook.org/surgeonratings/Lung-Surgery/James-Stephen-Counce/1104805498/
49,Dr. John Max Deloach,1740252873,www.checkbook.org/surgeonratings/Lung-Surgery/John-Max-Deloach/1740252873/
50,Dr. Louis Woodrow Elkins,1114993060,www.checkbook.org/surgeonratings/Lung-Surgery/Louis-Woodrow-Elkins/1114993060/
51,Dr. Robert C. Jaggers,1639165608,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-C-Jaggers/1639165608/
52,Dr. Derlis Martino,1811956410,www.checkbook.org/surgeonratings/Lung-Surgery/Derlis-Martino/1811956410/
53,Dr. David J. Miller,1326117623,www.checkbook.org/surgeonratings/Lung-Surgery/David-J-Miller/1326117623/
54,Dr. Matthew C. Parmley,1346370335,www.checkbook.org/surgeonratings/Lung-Surgery/Matthew-C-Parmley/1346370335/
55,Dr. Matthew Allen Steliga,1417121591,www.checkbook.org/surgeonratings/Lung-Surgery/Matthew-Allen-Steliga/1417121591/
56,Dr. Daniel Richard Stevenson,1558366443,www.checkbook.org/surgeonratings/Lung-Surgery/Daniel-Richard-Stevenson/1558366443/
57,Dr. Rowland P. Vernon,1003825498,www.checkbook.org/surgeonratings/Lung-Surgery/Rowland-P-Vernon/1003825498/
58,Dr. Edward Warren,1184684946,www.checkbook.org/surgeonratings/Lung-Surgery/Edward-Warren/1184684946/
59,Dr. Russell Hunter Wood,1366421653,www.checkbook.org/surgeonratings/Lung-Surgery/Russell-Hunter-Wood/1366421653/
60,Dr. Amir Abolhoda,1891875951,www.checkbook.org/surgeonratings/Lung-Surgery/Amir-Abolhoda/1891875951/
61,Dr. Reginald G. M. Abraham,1720042864,www.checkbook.org/surgeonratings/Lung-Surgery/Reginald-G-M-Abraham/1720042864/
62,Dr. Peter Thomas Anastassiou,1912904806,www.checkbook.org/surgeonratings/Lung-Surgery/Peter-Thomas-Anastassiou/1912904806/
63,Dr. Leheb H. Araim,1083623540,www.checkbook.org/surgeonratings/Lung-Surgery/Leheb-H-Araim/1083623540/
64,Dr. Abbas Ardehali,1649205576,www.checkbook.org/surgeonratings/Lung-Surgery/Abbas-Ardehali/1649205576/
65,Dr. Azmi W. Atiya,1639109648,www.checkbook.org/surgeonratings/Lung-Surgery/Azmi-W-Atiya/1639109648/
66,Dr. Amir Berjis,1316026800,www.checkbook.org/surgeonratings/Lung-Surgery/Amir-Berjis/1316026800/
67,Dr. Mark Francis Berry,1356508048,www.checkbook.org/surgeonratings/Lung-Surgery/Mark-Francis-Berry/1356508048/
68,Dr. Sharon Bogerty,1023231651,www.checkbook.org/surgeonratings/Lung-Surgery/Sharon-Bogerty/1023231651/
69,Dr. Kent A. Brusett,1245234962,www.checkbook.org/surgeonratings/Lung-Surgery/Kent-A-Brusett/1245234962/
70,Dr. Lamar J. Bushnell,1760582159,www.checkbook.org/surgeonratings/Lung-Surgery/Lamar-J-Bushnell/1760582159/
71,Dr. Robert Brian Cameron,1376578377,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Brian-Cameron/1376578377/
72,Dr. Larry J. Cardoza,1790721322,www.checkbook.org/surgeonratings/Lung-Surgery/Larry-J-Cardoza/1790721322/
73,Dr. Joseph H. Chammas,1902888522,www.checkbook.org/surgeonratings/Lung-Surgery/Joseph-H-Chammas/1902888522/
74,Dr. Shigeru Chino,1982604781,www.checkbook.org/surgeonratings/Lung-Surgery/Shigeru-Chino/1982604781/
75,Dr. Robbin Gerald Cohen,1417972621,www.checkbook.org/surgeonratings/Lung-Surgery/Robbin-Gerald-Cohen/1417972621/
76,Dr. David Tom Cooke,1831316181,www.checkbook.org/surgeonratings/Lung-Surgery/David-Tom-Cooke/1831316181/
77,Dr. Elizabeth Ashleigh David,1578714333,www.checkbook.org/surgeonratings/Lung-Surgery/Elizabeth-Ashleigh-David/1578714333/
78,Dr. Murali Dharan,1336143882,www.checkbook.org/surgeonratings/Lung-Surgery/Murali-Dharan/1336143882/
79,Dr. Costanzo Aldo Diperna,1063436731,www.checkbook.org/surgeonratings/Lung-Surgery/Costanzo-Aldo-Diperna/1063436731/
80,Dr. Gansevoort Hurlbut Dunnington,1336335140,www.checkbook.org/surgeonratings/Lung-Surgery/Gansevoort-Hurlbut-Dunnington/1336335140/
81,Dr. Clark Beeman Fuller,1790890341,www.checkbook.org/surgeonratings/Lung-Surgery/Clark-Beeman-Fuller/1790890341/
82,Dr. Lit Keung Fung,1346240264,www.checkbook.org/surgeonratings/Lung-Surgery/Lit-Keung-Fung/1346240264/
83,Dr. Ali Gheissari,1376545269,www.checkbook.org/surgeonratings/Lung-Surgery/Ali-Gheissari/1376545269/
84,Dr. Robert John Gottner,1295737179,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-John-Gottner/1295737179/
85,Dr. Jeffrey August Hagen,1558391011,www.checkbook.org/surgeonratings/Lung-Surgery/Jeffrey-August-Hagen/1558391011/
86,Dr. Omid Hajiseyed Javadi,1720032808,www.checkbook.org/surgeonratings/Lung-Surgery/Omid-Hajiseyed-Javadi/1720032808/
87,Dr. Howard H. Hayashi,1588626675,www.checkbook.org/surgeonratings/Lung-Surgery/Howard-H-Hayashi/1588626675/
88,Dr. James Robert Hemp,1124006382,www.checkbook.org/surgeonratings/Lung-Surgery/James-Robert-Hemp/1124006382/
89,Dr. Chuong D. Hoang,1992862072,www.checkbook.org/surgeonratings/Lung-Surgery/Chuong-D-Hoang/1992862072/
90,Dr. Mark W. Huang,1730185760,www.checkbook.org/surgeonratings/Lung-Surgery/Mark-W-Huang/1730185760/
91,Dr. David Mark Jablons,1346206190,www.checkbook.org/surgeonratings/Lung-Surgery/David-Mark-Jablons/1346206190/
92,Dr. Shashank Jolly,1902047814,www.checkbook.org/surgeonratings/Lung-Surgery/Shashank-Jolly/1902047814/
93,Dr. Colin Isao Joyo,1124186754,www.checkbook.org/surgeonratings/Lung-Surgery/Colin-Isao-Joyo/1124186754/
94,Dr. Samer Kanaan,1689864522,www.checkbook.org/surgeonratings/Lung-Surgery/Samer-Kanaan/1689864522/
95,Dr. Shamsuddin Khwaja,1679570527,www.checkbook.org/surgeonratings/Lung-Surgery/Shamsuddin-Khwaja/1679570527/
96,Dr. Jae Yul Kim,1023147014,www.checkbook.org/surgeonratings/Lung-Surgery/Jae-Yul-Kim/1023147014/
97,Dr. Ara S. Klijian,1831134162,www.checkbook.org/surgeonratings/Lung-Surgery/Ara-S-Klijian/1831134162/
98,Dr. Michael Peter Koumjian,1366403321,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-Peter-Koumjian/1366403321/
99,Dr. Jasleen Kukreja,1174556351,www.checkbook.org/surgeonratings/Lung-Surgery/Jasleen-Kukreja/1174556351/
100,Dr. Tuan T. Lam,1124290713,www.checkbook.org/surgeonratings/Lung-Surgery/Tuan-T-Lam/1124290713/
101,Dr. Jay M. Lee,1952326654,www.checkbook.org/surgeonratings/Lung-Surgery/Jay-M-Lee/1952326654/
102,Dr. Sang H. Lee,1356384796,www.checkbook.org/surgeonratings/Lung-Surgery/Sang-H-Lee/1356384796/
103,Dr. Philippe H. Lemoine,1609878123,www.checkbook.org/surgeonratings/Lung-Surgery/Philippe-H-Lemoine/1609878123/
104,Dr. Ali Mahtabifard,1801872593,www.checkbook.org/surgeonratings/Lung-Surgery/Ali-Mahtabifard/1801872593/
105,Dr. Farshad Malekmehr,1710904651,www.checkbook.org/surgeonratings/Lung-Surgery/Farshad-Malekmehr/1710904651/
106,Dr. Michael J. Mann,1659337426,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-J-Mann/1659337426/
107,Dr. Alexander Marmureanu,1821002171,www.checkbook.org/surgeonratings/Lung-Surgery/Alexander-Marmureanu/1821002171/
108,Dr. John P. Maurice,1649203597,www.checkbook.org/surgeonratings/Lung-Surgery/John-P-Maurice/1649203597/
109,Dr. Stephen Daniel Maxwell,1043223936,www.checkbook.org/surgeonratings/Lung-Surgery/Stephen-Daniel-Maxwell/1043223936/
110,Dr. Paul Michael Mcfadden,1316979586,www.checkbook.org/surgeonratings/Lung-Surgery/Paul-Michael-Mcfadden/1316979586/
111,Dr. Robert Joseph McKenna,1942210117,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Joseph-McKenna/1942210117/
112,Dr. Jeffrey Milliken,1033299292,www.checkbook.org/surgeonratings/Lung-Surgery/Jeffrey-Milliken/1033299292/
113,Dr. Gholam Reza Mohammadzadeh,1699743625,www.checkbook.org/surgeonratings/Lung-Surgery/Gholam-Reza-Mohammadzadeh/1699743625/
114,Dr. Erick Leopoldo Montero,1033439005,www.checkbook.org/surgeonratings/Lung-Surgery/Erick-Leopoldo-Montero/1033439005/
115,Dr. James Dell Morrissey,1033223060,www.checkbook.org/surgeonratings/Lung-Surgery/James-Dell-Morrissey/1033223060/
116,Dr. Michael Stephen O'Holleran,1003916321,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-Stephen-OHolleran/1003916321/
117,Dr. Daniel Sangwon Oh,1932396611,www.checkbook.org/surgeonratings/Lung-Surgery/Daniel-Sangwon-Oh/1932396611/
118,Dr. Tomomi Oka,1679788749,www.checkbook.org/surgeonratings/Lung-Surgery/Tomomi-Oka/1679788749/
119,Dr. Brian Avecilla Palafox,1568424422,www.checkbook.org/surgeonratings/Lung-Surgery/Brian-Avecilla-Palafox/1568424422/
120,Dr. Michael Anthony Palmer,1669539862,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-Anthony-Palmer/1669539862/
121,Dr. Anthony Perricone,1104842129,www.checkbook.org/surgeonratings/Lung-Surgery/Anthony-Perricone/1104842129/
122,Dr. Edward William Pottmeyer,1982710539,www.checkbook.org/surgeonratings/Lung-Surgery/Edward-William-Pottmeyer/1982710539/
123,Dr. Ledford Lee Powell,1700832110,www.checkbook.org/surgeonratings/Lung-Surgery/Ledford-Lee-Powell/1700832110/
124,Dr. Eric Robert Presser,1548279755,www.checkbook.org/surgeonratings/Lung-Surgery/Eric-Robert-Presser/1548279755/
125,Dr. Miguel Puig Palomar,1558361139,www.checkbook.org/surgeonratings/Lung-Surgery/Miguel-Puig-Palomar/1558361139/
126,Dr. Dan Joseph Raz,1598893398,www.checkbook.org/surgeonratings/Lung-Surgery/Dan-Joseph-Raz/1598893398/
127,Dr. Randall F. Roberts,1114929809,www.checkbook.org/surgeonratings/Lung-Surgery/Randall-F-Roberts/1114929809/
128,Dr. Andreas George Sakopoulos,1720067028,www.checkbook.org/surgeonratings/Lung-Surgery/Andreas-George-Sakopoulos/1720067028/
129,Dr. Raymond Harris Schaerf,1912903295,www.checkbook.org/surgeonratings/Lung-Surgery/Raymond-Harris-Schaerf/1912903295/
130,Dr. Donald E. Schepps,1497843098,www.checkbook.org/surgeonratings/Lung-Surgery/Donald-E-Schepps/1497843098/
131,Dr. Steven Michael Schwartz,1275574832,www.checkbook.org/surgeonratings/Lung-Surgery/Steven-Michael-Schwartz/1275574832/
132,Dr. Sachin H. Shah,1083631600,www.checkbook.org/surgeonratings/Lung-Surgery/Sachin-H-Shah/1083631600/
133,Dr. Saurin Shah,1902062698,www.checkbook.org/surgeonratings/Lung-Surgery/Saurin-Shah/1902062698/
134,Dr. Joseph B. Shrager,1619904521,www.checkbook.org/surgeonratings/Lung-Surgery/Joseph-B-Shrager/1619904521/
135,Dr. Robert Luther Shuman,1417064221,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Luther-Shuman/1417064221/
136,Dr. Harmik J. Soukiasian,1386708683,www.checkbook.org/surgeonratings/Lung-Surgery/Harmik-J-Soukiasian/1386708683/
137,Dr. Gregory Scott Spowart,1669475430,www.checkbook.org/surgeonratings/Lung-Surgery/Gregory-Scott-Spowart/1669475430/
138,Dr. Russell David Stanten,1740372770,www.checkbook.org/surgeonratings/Lung-Surgery/Russell-David-Stanten/1740372770/
139,Dr. Alexander Geoffrey Stein,1861440430,www.checkbook.org/surgeonratings/Lung-Surgery/Alexander-Geoffrey-Stein/1861440430/
140,Dr. John M. Stoneburner,1366526550,www.checkbook.org/surgeonratings/Lung-Surgery/John-M-Stoneburner/1366526550/
141,Dr. Michaela Straznicka,1003858283,www.checkbook.org/surgeonratings/Lung-Surgery/Michaela-Straznicka/1003858283/
142,Dr. Pierre Reynald Theodore,1811952054,www.checkbook.org/surgeonratings/Lung-Surgery/Pierre-Reynald-Theodore/1811952054/
